,func,k,numPI,time_PI,ks,time_sym,time_ks,time_cov
130,01,1,1,1.4066696166992188e-05,0.0,0.00020194053649902344,4.5299530029296875e-06,1.2636184692382812e-05
131,01,1,1,1.4066696166992188e-05,0.0,0.00020122528076171875,3.814697265625e-06,3.075599670410156e-05
132,01,1,1,1.4066696166992188e-05,0.0,0.00019693374633789062,2.2172927856445312e-05,3.075599670410156e-05
133,01,1,1,3.1948089599609375e-05,0.0,0.00019741058349609375,2.1457672119140625e-05,3.0994415283203125e-05
134,01,1,1,1.4543533325195312e-05,0.0,0.00019693374633789062,3.814697265625e-06,3.075599670410156e-05
135,01,1,1,1.5020370483398438e-05,0.0,0.00017309188842773438,4.0531158447265625e-06,1.2874603271484375e-05
136,0010,2,2,4.839897155761719e-05,0.0,0.0003867149353027344,9.775161743164062e-06,4.0531158447265625e-05
137,01,1,1,2.2172927856445312e-05,0.0,0.00018548965454101562,4.5299530029296875e-06,1.5020370483398438e-05
138,01,1,1,1.6689300537109375e-05,0.0,0.00014972686767578125,4.0531158447265625e-06,1.3589859008789062e-05
139,1000000011000000,4,3,9.584426879882812e-05,1.3125,0.0005121231079101562,1.2159347534179688e-05,0.0005917549133300781
140,00100000000000000010000000000000001000000000000010100000000000001010000000000000101000000000000010100000000000001010000000000000,7,5,0.003275632858276367,2.75390625,0.0036416053771972656,7.343292236328125e-05,0.024687767028808594
141,01,1,1,2.0503997802734375e-05,0.0,0.00020384788513183594,4.291534423828125e-06,3.0994415283203125e-05
142,0111000000000000111100000000000000000000000000000000000000000000,6,4,0.0009500980377197266,2.7890625,0.002221822738647461,0.00014472007751464844,0.011245012283325195
143,01,1,1,2.0265579223632812e-05,0.0,0.00021958351135253906,2.5033950805664062e-05,3.4809112548828125e-05
144,01,1,1,1.4066696166992188e-05,0.0,0.00019502639770507812,4.291534423828125e-06,1.3113021850585938e-05
145,0000001010101010,4,3,0.00010371208190917969,0.5625,0.0005834102630615234,1.1920928955078125e-05,0.0005221366882324219
146,0111000011111111,4,3,0.00010180473327636719,0.5625,0.0005152225494384766,2.956390380859375e-05,0.0005383491516113281
147,0100,2,2,4.291534423828125e-05,0.0,0.0002105236053466797,2.3603439331054688e-05,3.7670135498046875e-05
148,01,1,1,3.266334533691406e-05,0.0,0.00019502639770507812,2.1696090698242188e-05,3.0517578125e-05
149,01,1,1,1.430511474609375e-05,0.0,0.0001952648162841797,4.0531158447265625e-06,3.075599670410156e-05
150,01,1,1,1.4781951904296875e-05,0.0,0.0001926422119140625,4.291534423828125e-06,1.2159347534179688e-05
151,01,1,1,3.0279159545898438e-05,0.0,0.0003695487976074219,6.4373016357421875e-06,4.267692565917969e-05
152,01,1,1,2.7894973754882812e-05,0.0,0.0003833770751953125,6.198883056640625e-06,2.0742416381835938e-05
153,01111111001111110000000000000000,5,3,0.0005784034729003906,0.65625,0.0013158321380615234,6.67572021484375e-05,0.001603841781616211
154,00010011,3,2,8.58306884765625e-05,0.75,0.0007393360137939453,3.337860107421875e-05,0.0003745555877685547
155,01,1,1,1.9788742065429688e-05,0.0,0.0003235340118408203,2.4080276489257812e-05,3.600120544433594e-05
156,0111,2,2,4.1484832763671875e-05,1.5,0.00040984153747558594,2.4080276489257812e-05,0.00018215179443359375
