,network,name,func,k,bias,numPI,time_PI,ks,time_sym,time_ks,time_cov,ke,tss,correct,timeout,ks_norm,ke_norm,source,version
53,Arabidopsis thaliana Cell Cycle,E2Fb,0100,2,0.25,2,2.3603439331054688e-05,0.0,0.00011205673217773438,8.58306884765625e-06,2.1696090698242188e-05,1.25,"[[['12', [], []], ['20', [], []]], [['01', [], []]]]",1.0,False,0.0,0.625,cc,
54,Arabidopsis thaliana Cell Cycle,CDKB1;1,01110011011100110011001101110011011100110111001100110011001100111111111111111111111111111111111111111111111111111111111111111111,7,0.7890625,4,0.001607656478881836,1.375,0.00023984909057617188,4.00543212890625e-05,0.0022504329681396484,1.699869791666666,"[[['0210202', [], [[0, 3, 5], [1, 4, 6]]], ['0222102', [], [[0, 5], [1, 2, 3, 6]]], ['0222200', [], [[0, 5, 6], [1, 2, 3, 4]]], ['0112202', [], [[0, 5], [1, 2], [3, 4, 6]]]], [['2202021', [], [[2, 4], [0, 1, 3, 5]]], ['1222222', [[0, 5]], [[1, 2, 3, 4, 5, 6]]], ['2021021', [], [[1, 4], [3, 6], [0, 2, 5]]]]]",1.0,False,0.19642857142857142,0.24283854166666657,cc,
55,Aurora Kinase A in Neuroblastoma,PP2A,0100,2,0.25,2,2.0742416381835938e-05,0.0,0.0001266002655029297,6.198883056640625e-06,2.002716064453125e-05,1.25,"[[['12', [], []], ['20', [], []]], [['01', [], []]]]",1.0,False,0.0,0.625,cc,
56,Aurora Kinase A in Neuroblastoma,STMN,10,1,0.5,1,1.4066696166992188e-05,0.0,9.489059448242188e-05,4.5299530029296875e-06,1.2874603271484375e-05,1.0,"[[['1', [], []]], [['0', [], []]]]",1.0,False,0.0,1.0,cc,
57,Aurora Kinase A in Neuroblastoma,CDC25B,00101010,3,0.375,2,4.696846008300781e-05,0.75,0.000164031982421875,8.821487426757812e-06,0.00014495849609375,1.5625,"[[['221', [], [[0, 1]]], ['002', [], [[0, 1]]]], [['120', [[0, 1]], []]]]",1.0,False,0.25,0.5208333333333334,cc,
58,Aurora Kinase A in Neuroblastoma,CentrosomeMat,0010,2,0.25,2,2.3126602172851562e-05,0.0,0.00012612342834472656,5.0067901611328125e-06,1.7404556274414062e-05,1.25,"[[['21', [], []], ['02', [], []]], [['10', [], []]]]",1.0,False,0.0,0.625,cc,
59,Aurora Kinase A in Neuroblastoma,PLK1,01010111111111110000001111111111,5,0.71875,4,0.0001456737518310547,0.5625,0.00022220611572265625,1.5735626220703125e-05,0.00045371055603027344,1.8958333333333335,"[[['10022', [[2, 3]], [[1, 2], [3, 4]]], ['20020', [[2, 3]], [[1, 2, 4], [0, 3]]]], [['02221', [], [[1, 2, 3]]], ['22112', [], [[2, 3], [0, 1, 4]]], ['21222', [], [[0, 2, 3, 4]]]]]",1.0,False,0.1125,0.3791666666666667,cc,
60,Aurora Kinase A in Neuroblastoma,CDK1CCNBComplex,1000110011001100,4,0.4375,3,7.343292236328125e-05,0.5625,0.00018262863159179688,1.2636184692382812e-05,0.00033020973205566406,1.625,"[[['0021', [], [[0, 1]]], ['2212', [], [[0, 1, 3]]]], [['2200', [], [[2, 3], [0, 1]]], ['1202', [[0, 1]], [[1, 3]]]]]",1.0,False,0.140625,0.40625,cc,
61,Aurora Kinase A in Neuroblastoma,hCPEB,01,1,0.5,1,1.1682510375976562e-05,0.0,0.00010466575622558594,6.198883056640625e-06,1.2159347534179688e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",1.0,False,0.0,1.0,cc,
62,Aurora Kinase A in Neuroblastoma,TPX2,01,1,0.5,1,1.1920928955078125e-05,0.0,9.298324584960938e-05,6.67572021484375e-06,1.6450881958007812e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",1.0,False,0.0,1.0,cc,
