,network,name,func,k,bias,numPI,time_PI,ks,time_sym,time_ks,time_cov,ke,tss,correct,timeout,ks_norm,ke_norm,source,version
69,B bronchiseptica and T retortaeformis coinfection,Th2II_TRetortaeformis,00000010,3,0.125,3,5.841255187988281e-05,1.125,0.00022077560424804688,9.775161743164062e-06,0.00046515464782714844,1.25,"[[['221', [], []], ['022', [[0, 1]], []]], [['110', [], []]]]",True,False,0.375,0.4166666666666667,cc,new
70,B bronchiseptica and T retortaeformis coinfection,Th2II_Bacterium,00000010,3,0.125,3,8.273124694824219e-05,1.125,0.00020503997802734375,8.58306884765625e-06,0.0004475116729736328,1.25,"[[['221', [], []], ['022', [[0, 1]], []]], [['110', [], []]]]",True,False,0.375,0.4166666666666667,cc,new
71,B bronchiseptica and T retortaeformis coinfection,MPI_Bacterium,00000111,3,0.375,2,8.678436279296875e-05,0.75,0.00020647048950195312,7.152557373046875e-06,0.0002484321594238281,1.5625,"[[['022', [], []], ['200', [], []]], [['112', [[1, 2]], []]]]",True,False,0.25,0.5208333333333334,cc,new
72,B bronchiseptica and T retortaeformis coinfection,TTSSII,01,1,0.5,1,3.314018249511719e-05,0.0,0.0001571178436279297,2.2172927856445312e-05,3.075599670410156e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
73,B bronchiseptica and T retortaeformis coinfection,Th1II_Bacterium,00000001,3,0.125,3,9.298324584960938e-05,2.625,0.00022363662719726562,7.3909759521484375e-06,0.0010874271392822266,1.25,"[[['022', [[0, 1, 2]], []]], [['111', [], []]]]",True,False,0.875,0.4166666666666667,cc,new
74,B bronchiseptica and T retortaeformis coinfection,IgA_Bacterium,00010011,3,0.375,2,7.319450378417969e-05,0.75,0.00017690658569335938,2.574920654296875e-05,0.0002694129943847656,1.5625,"[[['020', [], []], ['202', [], []]], [['112', [[0, 2]], []]]]",True,False,0.25,0.5208333333333334,cc,new
75,B bronchiseptica and T retortaeformis coinfection,Th2I_Bacterium,01,1,0.5,1,3.981590270996094e-05,0.0,0.0003380775451660156,4.5299530029296875e-06,3.552436828613281e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
76,B bronchiseptica and T retortaeformis coinfection,Oag,01,1,0.5,1,2.2172927856445312e-05,0.0,0.0001995563507080078,2.5272369384765625e-05,1.5735626220703125e-05,1.0,"[[['0', [], []]], [['1', [], []]]]",True,False,0.0,1.0,cc,new
77,B bronchiseptica and T retortaeformis coinfection,IL10I_Bacterium,0011011111111111,4,0.8125,3,0.00011348724365234375,1.6875,0.00021719932556152344,1.2636184692382812e-05,0.0009031295776367188,1.520833333333333,"[[['0002', [[1, 3]], []]], [['1222', [[0, 2]], []], ['2121', [], []]]]",True,False,0.421875,0.38020833333333326,cc,new
78,B bronchiseptica and T retortaeformis coinfection,TNE,0111,2,0.75,2,2.3126602172851562e-05,1.5,0.00015354156494140625,5.4836273193359375e-06,0.00021910667419433594,1.25,"[[['00', [], []]], [['12', [[0, 1]], []]]]",True,False,0.75,0.625,cc,new
